3/11/2021 4:38:58 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
190.382   -162.234
190.391   -162.097
190.401   -162.103
190.411   -162.211
190.421   -162.122
190.430   -162.126
190.440   -162.414
190.450   -162.241
190.459   -162.233
190.469   -161.851
190.479   -161.866
190.489   -162.041
190.498   -161.905
190.508   -161.958
190.518   -161.692
190.528   -161.973
190.537   -161.806
190.547   -161.667
190.557   -161.848
190.566   -161.596
190.576   -161.634
190.586   -161.831
190.596   -161.943
190.605   -161.727
190.615   -161.689
190.625   -161.435
190.634   -161.334
190.644   -161.403
190.654   -161.666
190.664   -161.164
190.673   -161.069
190.683   -161.530
190.693   -161.066
190.703   -161.939
190.712   -160.782
190.722   -161.323
190.732   -161.414
190.741   -161.366
190.751   -161.089
190.761   -161.212
190.771   -161.218
190.780   -161.255
190.790   -161.034
190.800   -160.855
190.810   -161.304
190.819   -160.969
190.829   -161.154
190.839   -160.965
190.848   -160.415
190.858   -160.880
190.868   -160.971
190.878   -160.673
190.887   -160.940
190.897   -160.849
190.907   -160.718
190.916   -160.604
190.926   -161.256
190.936   -160.501
190.946   -160.411
190.955   -160.608
190.965   -160.891
190.975   -160.621
190.985   -160.769
190.994   -160.653
191.004   -160.557
191.014   -160.416
191.023   -160.690
191.033   -160.578
191.043   -161.092
191.053   -160.624
191.062   -160.451
191.072   -160.880
191.082   -160.619
191.091   -160.182
191.101   -160.925
191.111   -160.676
191.121   -160.200
191.130   -160.727
191.140   -160.398
191.150   -160.752
191.160   -160.367
191.169   -160.704
191.179   -160.738
191.189   -160.675
191.198   -160.578
191.208   -160.852
191.218   -160.597
191.228   -160.413
191.237   -160.735
191.247   -160.520
191.257   -161.024
191.267   -161.152
191.276   -160.875
191.286   -161.277
191.296   -160.902
191.305   -160.801
191.315   -160.767
191.325   -160.873
191.335   -160.937
191.344   -160.775
191.354   -161.171
191.364   -160.722
191.373   -161.311
191.383   -161.268
191.393   -161.435
191.403   -161.304
191.412   -161.328
191.422   -161.398
191.432   -161.519
191.442   -161.444
191.451   -161.518
191.461   -161.434
191.471   -161.419
191.480   -161.938
191.490   -161.690
191.500   -162.059
191.510   -161.939
191.519   -161.783
191.529   -161.766
191.539   -161.968
191.548   -161.913
191.558   -161.886
191.568   -161.719
191.578   -161.968
191.587   -161.868
191.597   -161.750
191.607   -162.144
191.617   -162.430
191.626   -161.907
191.636   -161.418
191.646   -161.557
191.655   -161.915
191.665   -162.185
191.675   -161.884
191.685   -161.876
191.694   -162.111
191.704   -161.730
191.714   -162.322
191.724   -162.155
191.733   -162.305
191.743   -162.191
191.753   -162.164
191.762   -162.078
191.772   -162.034
191.782   -162.005
191.792   -162.081
191.801   -161.839
191.811   -162.036
191.821   -162.299
191.830   -161.939
191.840   -161.948
191.850   -161.776
191.860   -162.346
191.869   -162.037
191.879   -162.173
191.889   -161.594
191.899   -162.123
191.908   -161.969
191.918   -161.880
191.928   -161.776
191.937   -161.557
191.947   -162.537
191.957   -161.913
191.967   -162.214
191.976   -161.914
191.986   -161.820
191.996   -162.312
192.005   -161.833
192.015   -161.732
192.025   -161.429
192.035   -161.593
192.044   -162.257
192.054   -162.350
192.064   -162.281
192.074   -161.936
192.083   -162.261
192.093   -161.970
192.103   -162.291
192.112   -161.958
192.122   -161.956
192.132   -162.013
192.142   -161.724
192.151   -161.455
192.161   -161.387
192.171   -162.052
192.181   -161.310
192.190   -162.351
192.200   -162.168
192.210   -162.080
192.219   -162.174
192.229   -161.861
192.239   -161.678
192.249   -161.818
192.258   -162.037
192.268   -161.681
192.278   -161.577
192.287   -162.089
192.297   -161.901
192.307   -161.832
192.317   -161.607
192.326   -161.754
192.336   -162.203
192.346   -161.868
192.356   -161.885
192.365   -161.747
192.375   -161.426
192.385   -161.487
192.394   -161.523
192.404   -162.112
192.414   -161.984
192.424   -162.050
192.433   -161.598
192.443   -161.610
192.453   -161.732
192.462   -161.998
192.472   -161.441
192.482   -161.572
192.492   -162.139
192.501   -162.018
192.511   -161.650
192.521   -161.415
192.531   -161.822
192.540   -161.643
192.550   -162.071
192.560   -162.349
192.569   -161.825
192.579   -162.161
192.589   -161.161
192.599   -162.037
192.608   -161.763
192.618   -161.790
192.628   -161.900
192.638   -162.373
192.647   -161.903
192.657   -161.220
192.667   -161.363
192.676   -161.576
192.686   -161.533
192.696   -161.323
192.706   -161.500
192.715   -161.834
192.725   -161.534
192.735   -161.223
192.744   -161.572
192.754   -161.007
192.764   -162.000
192.774   -161.820
192.783   -161.742
192.793   -161.982
192.803   -161.778
192.813   -162.384
192.822   -161.788
192.832   -161.416
192.842   -160.951
192.851   -161.239
192.861   -161.095
192.871   -161.659
192.881   -161.533
192.890   -161.041
192.900   -161.423
192.910   -161.369
192.919   -161.576
192.929   -161.495
192.939   -161.543
192.949   -161.435
192.958   -161.308
192.968   -161.439
192.978   -160.958
192.988   -161.148
192.997   -161.808
193.007   -161.328
193.017   -161.832
193.026   -161.468
193.036   -161.561
193.046   -160.917
193.056   -161.406
193.065   -161.881
193.075   -161.183
193.085   -161.564
193.095   -161.022
193.104   -161.304



