3/12/2021 4:57:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
192.325   -68.373
192.335   -68.123
192.344   -67.811
192.354   -67.658
192.364   -67.278
192.373   -67.132
192.383   -66.801
192.393   -66.644
192.403   -66.456
192.412   -66.233
192.422   -66.022
192.432   -65.546
192.442   -65.496
192.451   -65.277
192.461   -65.141
192.471   -64.891
192.480   -64.492
192.490   -64.293
192.500   -64.134
192.510   -63.897
192.519   -63.620
192.529   -63.375
192.539   -63.237
192.548   -62.904
192.558   -62.769
192.568   -62.459
192.578   -62.242
192.587   -62.132
192.597   -61.871
192.607   -61.551
192.617   -61.420
192.626   -61.113
192.636   -60.998
192.646   -60.701
192.655   -60.469
192.665   -60.228
192.675   -59.958
192.685   -59.695
192.694   -59.534
192.704   -59.261
192.714   -59.087
192.723   -58.865
192.733   -58.687
192.743   -58.422
192.753   -58.196
192.762   -58.081
192.772   -57.658
192.782   -57.581
192.792   -57.237
192.801   -57.105
192.811   -56.918
192.821   -56.628
192.830   -56.366
192.840   -56.318
192.850   -55.852
192.860   -55.747
192.869   -55.504
192.879   -55.284
192.889   -55.113
192.899   -54.850
192.908   -54.748



