3/12/2021 4:29:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
191.693   -71.949
191.703   -71.794
191.712   -71.634
191.722   -71.456
191.732   -71.365
191.741   -71.251
191.751   -71.097
191.761   -70.811
191.771   -70.573
191.780   -70.425
191.790   -70.229
191.800   -70.032
191.809   -69.686
191.819   -69.471
191.829   -69.386
191.839   -69.243
191.848   -69.063
191.858   -68.642
191.868   -68.435
191.878   -68.342
191.887   -68.060
191.897   -67.971
191.907   -67.635
191.916   -67.598
191.926   -67.243
191.936   -67.157
191.946   -66.804
191.955   -66.716
191.965   -66.432
191.975   -66.195
191.985   -66.070
191.994   -65.803
192.004   -65.608
192.014   -65.468
192.023   -65.139
192.033   -64.845
192.043   -64.700
192.053   -64.471
192.062   -64.271
192.072   -64.078
192.082   -63.817
192.091   -63.602
192.101   -63.369
192.111   -63.147
192.121   -63.022
192.130   -62.707
192.140   -62.512
192.150   -62.273
192.160   -62.037
192.169   -61.871
192.179   -61.737
192.189   -61.514
192.198   -61.162
192.208   -60.942
192.218   -60.855
192.228   -60.581
192.237   -60.363
192.247   -60.076
192.257   -59.993
192.266   -59.672
192.276   -59.389
192.286   -59.202
192.296   -59.021
192.305   -58.755
192.315   -58.602
192.325   -58.378
192.335   -58.209
192.344   -57.959
192.354   -57.782
192.364   -57.644
192.373   -57.445
192.383   -57.156
192.393   -57.047
192.403   -56.742
192.412   -56.565
192.422   -56.316
192.432   -56.206
192.442   -55.942
192.451   -55.713
192.461   -55.547
192.471   -55.338
192.480   -55.061
192.490   -54.949
192.500   -54.517
192.510   -54.533
192.519   -54.339
192.529   -54.055
192.539   -53.780
192.548   -53.565
192.558   -53.544
192.568   -53.344
192.578   -53.047
192.587   -52.934
192.597   -52.714
192.607   -52.432
192.617   -52.171
192.626   -52.068
192.636   -51.782
192.646   -51.614
192.655   -51.499
192.665   -51.384
192.675   -51.135
192.685   -50.919
192.694   -50.829
192.704   -50.542
192.714   -50.384
192.723   -50.302
192.733   -50.007
192.743   -49.794
192.753   -49.537
192.762   -49.352
192.772   -49.299
192.782   -49.069
192.792   -48.725
192.801   -48.575
192.811   -48.471
192.821   -48.407
192.830   -48.235
192.840   -47.946
192.850   -47.722
192.860   -47.639
192.869   -47.492
192.879   -47.166
192.889   -47.017
192.899   -46.953
192.908   -46.691



