3/9/2021 6:36:10 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
192.871   153.702
192.881   153.390
192.890   153.721
192.900   153.466
192.910   153.571
192.919   153.851
192.929   153.681
192.939   153.592
192.949   153.784
192.958   153.824
192.968   153.845
192.978   153.960
192.988   153.881
192.997   153.838
193.007   153.908
193.017   154.081
193.026   154.081
193.036   154.250
193.046   154.419
193.056   154.380
193.065   154.178
193.075   154.222
193.085   154.363
193.095   154.511
193.104   154.588



