#Tempo(s)	Intensità (Un. Arb.)

86.07815000000001	1.147461
86.07815000000001	1.159668
86.09377500000001	1.147461
86.10940000000001	1.147461
86.12502500000001	1.147461
86.12502500000001	1.147461
86.14065000000001	1.147461
86.14065000000001	1.147461
86.15627500000001	1.135254
86.17190000000001	1.135254
86.18752500000001	1.135254
86.18752500000001	1.135254
86.20315000000001	1.123047
86.20315000000001	1.147461
86.21877500000001	1.135254
86.21877500000001	1.147461
86.23440000000001	1.147461
86.25002500000001	1.135254
86.26565000000001	1.135254
86.26565000000001	1.135254
86.28127500000001	1.135254
86.28127500000001	1.135254
86.29690000000001	1.135254
86.29690000000001	1.159668
86.31252500000001	1.147461
86.32815000000001	1.159668
86.34377500000001	1.147461
86.34377500000001	1.159668
86.35940000000001	1.159668
86.35940000000001	1.184082
86.37502500000001	1.184082
86.39065000000001	1.208496
86.40627500000001	1.196289
86.40627500000001	1.220703
86.42190000000001	1.208496
86.42190000000001	1.220703
86.43752500000001	1.208496
86.43752500000001	1.220703
86.45315000000001	1.220703
86.46877500000001	1.257324
86.48440000000001	1.245117
86.48440000000001	1.281738
86.50002500000001	1.269531
86.50002500000001	1.281738
86.51565000000001	1.281738
86.53127500000001	1.293945
86.54690000000001	1.293945
86.54690000000001	1.330566
86.56252500000001	1.318359
86.56252500000001	1.367187
86.57815000000001	1.342773
86.57815000000001	1.379395
86.59377500000001	1.367187
86.60940000000001	1.391602
86.62502500000001	1.391602
86.62502500000001	1.416016
86.64065000000001	1.416016
86.64065000000001	1.464844
86.65627500000001	1.452637
86.65627500000001	1.477051
86.67190000000001	1.477051
86.68752500000001	1.513672
86.70315000000001	1.513672
86.70315000000001	1.538086
86.71877500000001	1.550293
86.71877500000001	1.574707
86.73440000000001	1.5625
86.75002500000001	1.611328
86.76565000000001	1.599121
86.76565000000001	1.635742
86.78127500000001	1.635742
86.78127500000001	1.672363
86.79690000000001	1.672363
86.79690000000001	1.708984
86.81252500000001	1.696777
86.82815000000001	1.757812
86.84377500000001	1.745605
86.84377500000001	1.794434
86.85940000000001	1.794434
86.85940000000001	1.831055
86.87502500000001	1.843262
86.87502500000001	1.879883
86.90627500000001	1.879883
86.90627500000001	1.928711
86.92190000000001	1.916504
86.92190000000001	1.965332
86.93752500000001	1.965332
86.93752500000001	2.001953
86.95315000000001	2.01416
86.96877500000001	2.038574
86.98440000000001	2.062988
86.98440000000001	2.087402
87.00002500000001	2.099609
87.00002500000001	2.13623
87.01565000000001	2.124023
87.03127500000001	2.172852
87.04690000000001	2.185059
87.04690000000001	2.22168
87.06252500000001	2.246094
87.06252500000001	2.258301
87.07815000000001	2.282715
87.07815000000001	2.307129
87.09377500000001	2.319336
87.10940000000001	2.34375
87.12502500000001	2.355957
87.12502500000001	2.392578
87.14065000000001	2.416992
87.14065000000001	2.429199
87.15627500000001	2.453613
87.15627500000001	2.478027
87.17190000000001	2.490234
87.18752500000001	2.514648
87.20315000000001	2.514648
87.20315000000001	2.55127
87.21877500000001	2.575684
87.21877500000001	2.587891
87.23440000000001	2.612305
87.25002500000001	2.624512
87.26565000000001	2.648926
87.26565000000001	2.661133
87.28127500000001	2.685547
87.28127500000001	2.709961
87.29690000000001	2.722168
87.29690000000001	2.758789
87.31252500000001	2.770996
87.32815000000001	2.783203
87.34377500000001	2.807617
87.34377500000001	2.807617
87.35940000000001	2.832031
87.35940000000001	2.844238
87.37502500000001	2.880859
87.37502500000001	2.880859
87.40627500000001	2.91748
87.40627500000001	2.91748
87.42190000000001	2.941895
87.42190000000001	2.941895
87.43752500000001	2.978516
87.43752500000001	2.966309
87.45315000000001	3.00293
87.46877500000001	3.00293
87.48440000000001	3.039551
87.48440000000001	3.051758
87.50002500000001	3.076172
87.50002500000001	3.076172
87.51565000000001	3.112793
87.53127500000001	3.112793
87.53127500000001	3.137207
87.54690000000001	3.137207
87.56252500000001	3.161621
87.56252500000001	3.173828
87.57815000000001	3.210449
87.57815000000001	3.210449
87.59377500000001	3.234863
87.60940000000001	3.234863
87.62502500000001	3.271484
87.62502500000001	3.259277
87.64065000000001	3.295898
87.64065000000001	3.295898
87.65627500000001	3.33252
87.65627500000001	3.344727
87.68752500000001	3.369141
87.68752500000001	3.369141
87.70315000000001	3.381348
87.70315000000001	3.381348
87.71877500000001	3.417969
87.71877500000001	3.405762
87.73440000000001	3.442383
87.73440000000001	3.442383
87.76565000000001	3.479004
87.76565000000001	3.466797
87.78127500000001	3.491211
87.78127500000001	3.491211
87.79690000000001	3.515625
87.79690000000001	3.503418
87.81252500000001	3.540039
87.82815000000001	3.540039
87.84377500000001	3.564453
87.84377500000001	3.564453
87.85940000000001	3.588867
87.85940000000001	3.588867
87.87502500000001	3.613281
87.87502500000001	3.601074
87.90627500000001	3.625488
87.90627500000001	3.625488
87.92190000000001	3.649902
87.92190000000001	3.637695
87.93752500000001	3.662109
87.93752500000001	3.662109
87.95315000000001	3.686523
87.96877500000001	3.686523
87.98440000000001	3.710937
87.98440000000001	3.710937
88.00002500000001	3.723145
88.00002500000001	3.723145
88.01565000000001	3.735352
88.03127500000001	3.735352
88.04690000000001	3.747559
88.04690000000001	3.759766
88.06252500000001	3.771973
88.06252500000001	3.771973
88.07815000000001	3.78418
88.07815000000001	3.78418
88.09377500000001	3.796387
88.10940000000001	3.78418
88.12502500000001	3.796387
88.12502500000001	3.78418
88.14065000000001	3.796387
88.14065000000001	3.78418
88.15627500000001	3.796387
88.15627500000001	3.796387
88.17190000000001	3.820801
88.18752500000001	3.820801
88.20315000000001	3.833008
88.20315000000001	3.833008
88.21877500000001	3.845215
88.21877500000001	3.845215
88.23440000000001	3.857422
88.25002500000001	3.857422
88.26565000000001	3.869629
88.26565000000001	3.869629
88.28127500000001	3.869629
88.28127500000001	3.869629
88.29690000000001	3.881836
88.31252500000001	3.881836
88.31252500000001	3.881836
88.32815000000001	3.881836
88.34377500000001	3.894043
88.34377500000001	3.894043
88.35940000000001	3.894043
88.35940000000001	3.894043
88.37502500000001	3.90625
88.39065000000001	3.90625
88.40627500000001	3.90625
88.40627500000001	3.90625
88.42190000000001	3.90625
88.42190000000001	3.90625
88.43752500000001	3.90625
88.43752500000001	3.90625
88.45315000000001	3.90625
88.46877500000001	3.90625
88.48440000000001	3.90625
88.48440000000001	3.918457
88.50002500000001	3.918457
88.50002500000001	3.918457
88.51565000000001	3.918457
88.53127500000001	3.90625
88.53127500000001	3.90625
88.54690000000001	3.90625
88.56252500000001	3.90625
